	 181759
(R)-6-hydroxynicotine oxidase activity	 1
positive regulation of interferon-alpha production	 4
cellular response to cadmium ion	 2
genitalia morphogenesis	 2
PCAF complex	 3
tRNA transcription	 2
fructokinase activity	 6
Piccolo NuA4 histone acetyltransferase complex	 2
aspartate carbamoyltransferase activity	 15
negative regulation of histone H3-K9 methylation	 3
organic phosphonate transmembrane-transporting ATPase activity	 18
positive regulation of mast cell chemotaxis	 1
protein-glycine ligase activity	 19
kininogen binding	 2
regulation of lymphocyte activation	 1
riboflavin biosynthetic process	 40
3'-UTR-mediated mRNA stabilization	 1
larval somatic muscle development	 2
RAGE receptor binding	 2
phosphoenolpyruvate carboxykinase activity	 13
negative regulation of establishment of protein localization to plasma membrane	 1
negative regulation of myelination	 1
purine nucleobase catabolic process	 1
anterior/posterior pattern specification	 56
acetate metabolic process	 1
hexose metabolic process	 10
node of Ranvier	 5
glycerol-3-phosphate dehydrogenase [NAD+] activity	 11
lactose catabolic process via tagatose-6-phosphate	 1
coenzyme A metabolic process	 8
monoterpenoid metabolic process	 1
cochlea development	 1
Golgi lumen	 15
poly-hydroxybutyrate metabolic process	 1
acetyl-CoA transporter activity	 1
ceramide biosynthetic process	 10
arsenate reductase (azurin) activity	 8
thymine metabolic process	 1
cellular process	 125
determination of muscle attachment site	 9
regulation of lateral pseudopodium assembly	 11
response to lipopolysaccharide	 58
histone lysine methylation	 35
peptidyl-arginine methylation, to symmetrical-dimethyl arginine	 2
mercury (II) reductase activity	 17
regulation of response to food	 1
chondrocyte development	 5
regulation of development, heterochronic	 5
platelet dense tubular network membrane	 14
Golgi localization	 3
positive regulation of MHC class I biosynthetic process	 13
diacyl lipopeptide binding	 3
negative regulation of complement activation	 3
positive regulation of protein transport	 5
dendritic spine	 50
peripheral nervous system neuron axonogenesis	 6
gamma-tubulin ring complex	 8
polyphosphate kinase activity	 16
steroid hormone receptor complex assembly	 2
MyD88-independent toll-like receptor signaling pathway	 76
protein serine/threonine kinase activity	 2075
negative regulation of meiotic joint molecule formation	 1
regulation of glycogen catabolic process	 4
phosphatidylinositol-3,4-bisphosphate binding	 2
intracellular transport	 22
receptor signaling protein activity	 15
cerebellar granule cell precursor tangential migration	 1
phosphogluconate dehydratase activity	 13
cellular response to brefeldin A	 1
polysaccharide digestion	 1
cortical actin cytoskeleton	 9
cation transport	 253
negative regulation of osteoclast differentiation	 2
ornithine decarboxylase activity	 9
DNA-directed RNA polymerase II, core complex	 25
glycerolipid metabolic process	 1
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity	 3
4-hydroxybutyrate dehydrogenase activity	 4
canonical Wnt receptor signaling pathway	 34
ubiquitin activating enzyme activity	 5
cell division	 545
cytosine deaminase activity	 2
negative regulation of inclusion body assembly	 38
induction by symbiont of defense-related host nitric oxide production	 3
nucleotide-excision repair complex	 6
four-way junction helicase activity	 22
saliva secretion	 4
queuosine biosynthetic process	 10
protocatechuate 4,5-dioxygenase activity	 1
DNA-3-methyladenine glycosylase activity	 2
monoamine transport	 3
5'-deoxyribose-5-phosphate lyase activity	 3
protein kinase activator activity	 3
semicircular canal development	 4
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity	 1
phosphatidylserine decarboxylase activity	 16
dicarboxylic acid transport	 12
peptidase activator activity involved in apoptotic process	 2
rhombomere boundary formation	 7
3,4-dichloroaniline N-malonyltransferase activity	 2
small conjugating protein ligase activity	 4
nuclear pore	 62
receptor-mediated endocytosis	 82
negative regulation of dendrite morphogenesis	 1
nuclear euchromatin	 5
nucleobase-containing small molecule interconversion	 7
quinate metabolic process	 2
lead ion binding	 2
COPI vesicle coat	 38
glutamate 5-kinase activity	 19
proline catabolic process	 9
acetylgalactosaminyltransferase activity	 7
protein secretion by the type III secretion system	 1
thymidylate synthase activity	 12
chromatin modification	 98
manganese ion transport	 5
midbrain-hindbrain boundary development	 11
large ribosomal subunit	 89
organelle localization	 1
tracheal outgrowth, open tracheal system	 1
positive regulation of low-density lipoprotein particle receptor biosynthetic process	 2
regulation of protein deubiquitination	 2
complement activation, lectin pathway	 1
isoleucyl-tRNA aminoacylation	 41
trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	 1
cellular biogenic amine biosynthetic process	 2
protein-lysine 6-oxidase activity	 6
siRNA loading onto RISC involved in RNA interference	 2
Mo-molybdopterin cofactor metabolic process	 1
regulation of chromatin silencing at telomere	 2
3'(2'),5'-bisphosphate nucleotidase activity	 3
N,N-dimethylaniline monooxygenase activity	 39
chemorepulsion involved in embryonic olfactory bulb interneuron precursor migration	 1
regulation of inflammatory response	 14
positive regulation of histone phosphorylation	 2
MAP kinase tyrosine/serine/threonine phosphatase activity	 12
pseudopodium membrane	 1
abscisic acid biosynthetic process	 4
muramyl dipeptide binding	 11
interleukin-1 receptor binding	 1
trimethylamine dehydrogenase activity	 1
regulation of systemic arterial blood pressure by atrial natriuretic peptide	 10
exodeoxyribonuclease I activity	 1
SMAD protein signal transduction	 4
peptidyl-cysteine S-nitrosylation	 4
adenosine receptor signaling pathway	 1
2,5-didehydrogluconate reductase activity	 30
blood vessel endothelial cell migration	 1
negative regulation of translational initiation in response to starvation	 2
Gram-positive bacterial cell surface binding	 14
placenta development	 11
negative regulation of calcidiol 1-monooxygenase activity	 1
mitotic spindle organization	 58
interleukin-12-mediated signaling pathway	 1
toxin biosynthetic process	 4
adenylate cyclase binding	 2
activation-induced cell death of T cells	 2
secondary active organic cation transmembrane transporter activity	 1
dense core granule membrane	 2
protein deacetylase activity	 2
focal adhesion assembly	 14
cardiac muscle tissue development	 6
positive regulation of cell size	 4
positive regulation of alkaline phosphatase activity	 2
T cell activation	 44
translation release factor activity, codon specific	 25
response to nematode	 10
lymphoid progenitor cell differentiation	 1
SMC loading complex	 4
macrophage activation	 1
dopaminergic neuron differentiation	 12
cytidine metabolic process	 4
phosphorylase kinase complex	 15
visceral muscle development	 2
regulation of cell motility	 2
mRNA cap binding complex	 6
citrulline biosynthetic process	 1
positive regulation of receptor activity	 1
taxane 10-beta-hydroxylase activity	 1
camera-type eye morphogenesis	 14
prephenate dehydrogenase activity	 3
pyruvate carboxylase activity	 4
neuron projection membrane	 1
protein oligomerization	 29
DNA damage response, signal transduction by p53 class mediator	 4
histone H4-K20 methylation	 2
homoserine dehydrogenase activity	 18
protein-glycine ligase activity, elongating	 10
response to gamma radiation	 18
axolemma	 14
exon-exon junction complex	 5
regulation of mitotic recombination	 2
myosin light chain kinase activity	 26
embryonic organ development	 4
dorsal closure, amnioserosa morphology change	 6
regulation of intracellular pH	 9
positive regulation of protein tyrosine kinase activity	 1
prostaglandin biosynthetic process	 8
chloroplast stromal thylakoid	 3
cell	 9
late endosome membrane	 17
in utero embryonic development	 130
negative regulation of tyrosine phosphorylation of Stat5 protein	 1
response to cholesterol	 4
regulation of translational initiation	 32
response to linoleic acid	 2
negative regulation of asymmetric cell division	 1
striated muscle myosin thick filament assembly	 23
H zone	 5
response to salicylic acid stimulus	 3
phosphoserine phosphatase activity	 12
chloroplast nucleoid	 2
purine nucleobase transmembrane transporter activity	 1
nephron tubule formation	 2
4-hydroxyphenylpyruvate dioxygenase activity	 4
ferrous iron transmembrane transporter activity	 8
glutamate binding	 9
defense response	 156
protein depalmitoylation	 1
negative regulation of cell differentiation	 16
alcohol dehydrogenase (NADP+) activity	 8
instar larval or pupal development	 3
sodium channel complex	 1
pathway-restricted SMAD protein phosphorylation	 3
positive regulation of positive chemotaxis	 3
nucleotide-excision repair, DNA gap filling	 14
compound eye retinal cell programmed cell death	 3
gluconolactonase activity	 4
homeostasis of number of cells within a tissue	 4
glutathione peroxidase activity	 9
actin-dependent ATPase activity	 11
photosynthetic electron transport chain	 1
negative regulation of auditory receptor cell differentiation	 2
negative regulation of axonogenesis	 2
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	 5
histone H3-K4 demethylation, trimethyl-H3-K4-specific	 1
dorsal/ventral axis specification	 12
dolichyl-phosphate-mannose-protein mannosyltransferase activity	 1
threonine metabolic process	 1
mineralocorticoid receptor signaling pathway	 1
activation of protein kinase A activity	 14
hexose transport	 15
exodeoxyribonuclease VII complex	 6
histone mRNA catabolic process	 14
5-aminolevulinate synthase activity	 16
positive regulation of translational elongation	 6
positive regulation of mitotic cell cycle spindle assembly checkpoint	 1
cGMP-stimulated cyclic-nucleotide phosphodiesterase activity	 1
response to cytokinin stimulus	 3
G-protein coupled acetylcholine receptor signaling pathway	 2
regulation of insulin secretion	 34
calcium ion-dependent exocytosis of neurotransmitter	 2
fructose 1,6-bisphosphate metabolic process	 1
negative regulation of proteasomal ubiquitin-dependent protein catabolic process	 1
luteinizing hormone secretion	 1
peptidase activity, acting on L-amino acid peptides	 13
ESCRT II complex	 1
integrin biosynthetic process	 3
opine dehydrogenase activity	 2
NADPH-hemoprotein reductase activity	 15
axonemal dynein complex	 79
regulation of receptor-mediated endocytosis	 7
phosphopantothenate--cysteine ligase activity	 6
vitamin D receptor binding	 1
Roundabout binding	 3
cellular response to ATP	 5
ARF GTPase activator activity	 32
solute:hydrogen antiporter activity	 51
protein tyrosine kinase activity	 637
antimicrobial humoral response	 9
tRNA (guanine-N1-)-methyltransferase activity	 8
regulation of lipid metabolic process	 4
endothelial cell differentiation	 3
long-term memory	 14
serine phosphorylation of STAT3 protein	 1
transforming growth factor beta receptor complex assembly	 1
intracellular estrogen receptor signaling pathway	 3
amino acid binding	 148
ferrochelatase activity	 6
alpha-glucosidase activity	 15
positive regulation of helicase activity	 2
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity	 4
capsanthin/capsorubin synthase activity	 9
Rho GDP-dissociation inhibitor activity	 1
glucosinolate biosynthetic process	 3
manganese ion transmembrane transport	 1
response to triglyceride	 2
cilium morphogenesis	 33
beta-glucuronidase activity	 7
replicative cell aging	 6
galactosylxylosylprotein 3-beta-galactosyltransferase activity	 9
inflorescence morphogenesis	 1
myoblast differentiation	 6
cellular chloride ion homeostasis	 4
nucleotide kinase activity	 25
defense response, incompatible interaction	 1
regulation of protein export from nucleus	 3
myelin assembly	 5
protein localization to plasma membrane	 5
artery development	 1
cation:chloride symporter activity	 8
NAD(P)+ transhydrogenase (B-specific) activity	 17
DNA topoisomerase type II (ATP-hydrolyzing) activity	 128
adenylate cyclase-activating G-protein coupled receptor signaling pathway	 6
signal peptidase complex	 4
RNA interference	 11
Cdc42 protein signal transduction	 2
myosin phosphatase activity	 3
galactan 1,3-beta-galactosidase activity	 1
positive regulation of growth hormone receptor signaling pathway	 1
membrane-bounded organelle	 3
DNA recombinase assembly	 6
histone H4-K20 demethylation	 1
palmitoyltransferase activity	 4
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex	 1
positive regulation of phosphatidylinositol 3-kinase cascade	 9
bicarbonate transmembrane transporter activity	 2
receptor complex	 20
growth hormone receptor signaling pathway	 2
cerebellum structural organization	 4
embryonic camera-type eye development	 7
U4 snRNA 3'-end processing	 1
condensin complex	 3
deoxycytidylate C-methyltransferase activity	 2
mechanosensory behavior	 7
morphogenesis of an epithelium	 40
germline ring canal	 7
gas transport	 1
chromosome passenger complex	 3
polyol transport	 2
tyrosine catabolic process	 15
glycosaminoglycan biosynthetic process	 9
choline-phosphate cytidylyltransferase activity	 1
ATPase activity, coupled	 39
embryo development ending in birth or egg hatching	 133
hemoglobin catabolic process	 1
positive regulation of kinase activity	 4
RNA 5'-end processing	 1
negative regulation of transcription from RNA polymerase III promoter	 2
germ cell migration	 6
NADPH binding	 6
positive regulation of interleukin-12 production	 17
neurotransmitter secretion	 36
alanine biosynthetic process	 1
optic nerve morphogenesis	 4
positive regulation of transcription factor import into nucleus	 8
nucleotide-excision repair, DNA damage removal	 22
regulation of steroid biosynthetic process	 1
peptidyl-lysine 5-dioxygenase activity	 1
dorsal/ventral lineage restriction, imaginal disc	 1
regulation of plant-type hypersensitive response	 1
snRNP protein import into nucleus	 1
rRNA (guanine-N7)-methylation	 2
regulation of DNA binding	 2
negative regulation of cardiac muscle hypertrophy	 1
glutaminase activity	 12
sterol 14-demethylase activity	 5
ferric-chelate reductase activity	 2
glutathione dehydrogenase (ascorbate) activity	 1
regulation of bone remodeling	 8
DNA strand elongation involved in DNA replication	 16
brown fat cell differentiation	 5
anaerobic electron transport chain	 6
1,3-propanediol dehydrogenase activity	 3
peptidyl-aspartic acid hydroxylation	 1
GTP:GDP antiporter activity	 1
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	 5
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	 183
voltage-gated sodium channel complex	 36
negative regulation of bone resorption	 5
DNA-dependent ATPase activity	 66
regulation of chitin-based cuticle tanning	 1
visual learning	 12
negative regulation of planar cell polarity pathway involved in outflow tract morphogenesis	 11
NAD(P)+ transhydrogenase (AB-specific) activity	 45
pyrimidine nucleotide metabolic process	 6
dimethylallyltranstransferase activity	 4
negative regulation of mammary gland epithelial cell proliferation	 8
D-lactate dehydrogenase activity	 6
L-aspartate:2-oxoglutarate aminotransferase activity	 34
proprioception	 1
histoblast morphogenesis	 1
sensory perception of sour taste	 2
regulation of dendrite development	 2
negative regulation of microtubule polymerization	 5
protein homodimerization activity	 288
skeletal muscle adaptation	 4
salivary gland histolysis	 2
eye-antennal disc morphogenesis	 1
methionine-tRNA ligase activity	 23
response to wounding	 38
establishment of protein localization	 31
negative regulation of activin receptor signaling pathway	 1
cytoskeletal anchoring at plasma membrane	 40
brush border	 25
heterocycle metabolic process	 1
tRNA 3'-end processing	 2
striated muscle dense body	 5
carbohydrate transmembrane transporter activity	 25
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity	 3
selenium compound metabolic process	 1
extracellular fibril organization	 11
positive regulation of intestinal epithelial structure maintenance	 1
tRNA splicing, via endonucleolytic cleavage and ligation	 22
endothelial cell development	 2
regulation of alternative mRNA splicing, via spliceosome	 20
chemorepellent activity	 3
acidic amino acid transmembrane transporter activity	 1
fructose-bisphosphate aldolase activity	 28
septate junction	 6
thiamine biosynthetic process	 39
5-dehydro-2-deoxygluconokinase activity	 5
generation of neurons	 10
Atg8 ligase activity	 1
receptor binding	 188
axonal fasciculation	 28
Nebenkern	 2
glutamine transport	 1
THO complex part of transcription export complex	 3
DNA strand annealing activity	 19
dauer entry	 4
L-ascorbic acid binding	 79
positive regulation of pseudopodium assembly	 2
potassium ion binding	 37
positive regulation of Wnt receptor signaling pathway	 10
regulation of catenin import into nucleus	 1
positive regulation of ribosomal small subunit export from nucleus	 1
spliceosomal complex assembly	 12
regulation of cell cycle	 83
UTP:glucose-1-phosphate uridylyltransferase activity	 15
neuropeptide hormone activity	 2
negative regulation of hemocyte proliferation	 2
nucleotide-excision repair	 134
mammary gland alveolus development	 6
ATPase activity, uncoupled	 1
striated muscle thin filament	 64
collagen catabolic process	 3
RNA import into nucleus	 1
positive regulation of hh target transcription factor activity	 2
ER to Golgi vesicle-mediated transport	 54
short-term memory	 7
procollagen-lysine 5-dioxygenase activity	 2
histidine transport	 4
plastoglobule	 10
synapse part	 1
glycerophosphodiester phosphodiesterase activity	 13
enamidase activity	 1
tRNA cytidylyltransferase activity	 1
methylmalonyl-CoA epimerase activity	 3
smoothened signaling pathway	 24
negative regulation of T cell apoptotic process	 1
negative regulation of cellular protein metabolic process	 1
regulation of actin filament-based process	 1
deaminase activity	 15
vacuolar acidification	 2
cholesterol catabolic process	 4
cellular senescence	 2
epithelium development	 1
COPI coating of Golgi vesicle	 23
chitin-based embryonic cuticle biosynthetic process	 3
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	 8
L-amino-acid oxidase activity	 4
female germ cell nucleus	 1
thylakoid lumen	 9
superoxide dismutase activity	 22
toll-like receptor 1 signaling pathway	 59
pyrimidine nucleoside transport	 1
phenylacetate-CoA ligase activity	 4
cellular component movement	 49
negative regulation of transcription from RNA polymerase II promoter during mitosis	 1
cellular response to luteinizing hormone stimulus	 2
lateral sprouting involved in lung morphogenesis	 3
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	 2
regionalization	 1
inward rectifier potassium channel activity	 13
protein poly-ADP-ribosylation	 4
sensory organ precursor cell division	 1
intracellular distribution of mitochondria	 7
negative regulation of female receptivity	 1
transposition	 3
cycloeucalenol cycloisomerase activity	 1
cell-cell recognition	 2
activation of NF-kappaB-inducing kinase activity	 32
norepinephrine transport	 1
seed development	 2
epithelial cell differentiation	 12
oocyte localization involved in germarium-derived egg chamber formation	 3
zeta DNA polymerase complex	 5
histone arginine methylation	 13
rRNA (adenine) methyltransferase activity	 8
regulation of phosphate transport	 1
jasmonic acid and ethylene-dependent systemic resistance	 1
antheraxanthin epoxidase activity	 4
microtubule basal body	 89
prostate epithelial cord elongation	 1
mitochondrial electron transport, NADH to ubiquinone	 30
O-acetylhomoserine aminocarboxypropyltransferase activity	 24
phosphoglycerate mutase activity	 21
CARD domain binding	 15
response to nitrate	 1
phototransduction	 11
inactivation of MAPK activity involved in osmosensory signaling pathway	 5
mevaldate reductase (NAD+) activity	 1
kynurenine-oxoglutarate transaminase activity	 2
xylulose catabolic process	 1
mesoderm formation	 18
single strand break repair	 4
ATP citrate synthase activity	 21
NuRD complex	 3
negative regulation of ureter smooth muscle cell differentiation	 1
abscisic aldehyde oxidase activity	 2
preribosome	 1
locomotion involved in locomotory behavior	 6
aspartate ammonia-lyase activity	 2
activation of JUN kinase activity	 11
tRNA 3'-trailer cleavage	 2
lamin filament	 3
vitamin D receptor signaling pathway	 2
cell communication	 1192
N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity	 3
dendritic cell chemotaxis	 3
UTP binding	 1
histone methyltransferase activity (H3-R2 specific)	 1
anagen	 12
argininosuccinate synthase activity	 11
cycloartenol synthase activity	 3
creatinase activity	 12
vinylacetyl-CoA delta-isomerase activity	 6
negative regulation of protein kinase activity	 23
single base insertion or deletion binding	 3
translational readthrough	 1
negative regulation of cell volume	 4
metaphase plate congression	 3
cellular extravasation	 2
determination of ventral identity	 7
proton-transporting two-sector ATPase complex, proton-transporting domain	 29
phospholipid homeostasis	 4
sphingomyelin biosynthetic process	 3
ER to Golgi transport vesicle	 1
insulin receptor complex	 1
activation of meiosis involved in egg activation	 1
sialic acid transmembrane transporter activity	 3
quorum sensing involved in interaction with host	 1
glycosome	 4
response to electrical stimulus	 9
Golgi to plasma membrane transport	 1
protein homotetramerization	 24
histone methyltransferase activity (H3-K4 specific)	 7
nitrile metabolic process	 1
regulation of vacuole fusion, non-autophagic	 2
collagen metabolic process	 4
loop DNA binding	 2
regulation of anti-apoptosis	 3
mammary gland epithelial cell proliferation	 2
receptor activator activity	 1
primary prostatic bud elongation	 1
positive regulation of DNA metabolic process	 1
urea transmembrane transport	 1
GTP cyclohydrolase I activity	 5
protein autoprocessing	 15
neuron fate specification	 2
response to morphine	 12
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	 5
establishment of mitotic spindle orientation	 9
ribosomal protein import into nucleus	 5
external side of plasma membrane	 42
lipoate biosynthetic process	 10
L-phenylalanine catabolic process	 19
positive regulation of neuron projection development	 16
PTB domain binding	 1
negative regulation of protein deubiquitination	 2
phosphatidylcholine catabolic process	 1
lithium ion binding	 1
mitotic metaphase	 2
ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity	 3
dermatan sulfate proteoglycan metabolic process	 4
deadenylation-independent decapping of nuclear-transcribed mRNA	 3
mannan endo-1,4-beta-mannosidase activity	 2
negative regulation of neurotrophin TRK receptor signaling pathway	 15
response to ionizing radiation	 41
rRNA modification	 31
altronate dehydratase activity	 18
polyamine oxidase activity	 2
1-phosphatidylinositol-5-phosphate 4-kinase activity	 3
polyubiquitin binding	 12
complement receptor activity	 2
negative regulation of cholesterol transport	 1
shoot system development	 5
negative regulation of translational initiation by iron	 2
microtubule	 562
sialic acid binding	 7
cell-cell adhesion mediated by integrin	 5
asymmetric protein localization	 14
heart development	 100
NADPH:quinone reductase activity	 93
negative regulation of transcription from RNA polymerase II promoter	 95
Rab-protein geranylgeranyltransferase complex	 2
tryptophan-phenylpyruvate transaminase activity	 4
cellular aromatic compound metabolic process	 46
lymph node development	 1
negative regulation of defense response to virus	 2
serum response element binding	 1
transformation of host cell by virus	 1
blood vessel remodeling	 7
gamma-glutamyl-gamma-aminobutyrate hydrolase activity	 1
protein phosphatase inhibitor activity	 7
synaptosome	 59
glutamate synthase activity, NAD(P)H as acceptor	 18
regulation of defense response to fungus, incompatible interaction	 1
GPI anchor binding	 4
regulation of telomere maintenance	 2
cell proliferation involved in compound eye morphogenesis	 1
imaginal disc development	 3
homoiothermy	 3
cyclin-dependent protein kinase activating kinase holoenzyme complex	 4
induction of apoptosis	 144
response to fructose stimulus	 2
PcG protein complex	 2
SH2 domain binding	 32
zinc ion binding	 5019
ankyrin binding	 14
positive regulation of axon extension involved in axon guidance	 2
thyroid hormone metabolic process	 7
anion homeostasis	 2
growth factor activity	 31
dCMP deaminase activity	 7
cerebellar cortex formation	 1
transmission of nerve impulse	 1
12-hydroxydihydrochelirubine 12-O-methyltransferase activity	 3
signal transduction involved in filamentous growth	 2
linoleic acid metabolic process	 1
gene expression	 215
lymph vessel development	 1
lactate transport	 2
endocytic vesicle	 21
calmodulin-dependent protein kinase activity	 256
B cell homeostasis	 4
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	 17
phosphate-containing compound metabolic process	 31
formyltetrahydrofolate dehydrogenase activity	 11
muscle fiber development	 4
other organism membrane	 2
tissue homeostasis	 8
regulation of epidermal cell differentiation	 3
protein side chain deglutamylation	 4
xanthophore differentiation	 1
zinc ion transport	 13
transferase activity, transferring selenium-containing groups	 1
cytoplasmic sequestering of NF-kappaB	 5
lipoamide metabolic process	 1
protein glycosylation	 86
steroid metabolic process	 44
5-oxoprolinase (ATP-hydrolyzing) activity	 22
regulation of hippo signaling cascade	 3
regulation of aldosterone metabolic process	 4
THO complex	 3
stereocilium bundle tip	 2
cofactor binding	 283
UDP-L-arabinose metabolic process	 2
centrosome cycle	 3
plasma membrane respiratory chain complex IV	 17
intracellular protein kinase cascade	 51
Golgi trans cisterna	 1
flavone 7-O-beta-glucosyltransferase activity	 2
cellular ion homeostasis	 7
protein import into mitochondrial inner membrane	 5
synaptic growth at neuromuscular junction	 17
focal adhesion	 65
host cell mitochondrion	 1
protein localization to organelle	 10
glucose-6-phosphatase activity	 2
aromatic compound catabolic process	 6
canonical Wnt receptor signaling pathway involved in cardiac neural crest cell differentiation involved in heart development	 11
glycerone kinase activity	 6
establishment of body hair planar orientation	 6
negative regulation of protein secretion	 1
defense response to virus	 54
meiosis I	 1
DNA strand elongation	 1
neuron fate commitment	 14
DNA metabolic process	 158
cellular modified amino acid catabolic process	 1
neuroblast proliferation	 2
npBAF complex	 2
small nuclear ribonucleoprotein complex	 20
UDP-glucose:glycoprotein glucosyltransferase activity	 4
Ras guanyl-nucleotide exchange factor activity	 1
caveolar macromolecular signaling complex	 2
Cul3-RING ubiquitin ligase complex	 7
glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	 2
adenosylcobinamide-phosphate synthase activity	 2
photosynthetic electron transport in photosystem II	 9
Sertoli cell development	 4
intracellular signal transduction	 431
catechol-containing compound catabolic process	 2
glutamine-scyllo-inositol transaminase activity	 5
mitochondrial matrix	 125
transmitter-gated ion channel activity	 1
protein kinase C binding	 47
homogentisate farnesyltransferase activity	 1
plasma membrane organization	 13
chromosome	 396
zinc transporting ATPase activity	 4
C4-dicarboxylate transport	 49
regulation of organ growth	 13
NAD binding	 350
positive regulation of translational termination	 6
thyroid hormone receptor coactivator activity	 1
cell envelope organization	 1
thiosulfate dehydrogenase activity	 2
vacuole	 96
positive regulation of mitotic metaphase/anaphase transition	 3
spindle assembly	 11
detection of chemical stimulus involved in sensory perception of pain	 8
kinetochore microtubule	 6
sugar mediated signaling pathway	 2
phosphoribosylamine-glycine ligase activity	 20
cellular response to salt stress	 1
choline dehydrogenase activity	 17
positive regulation of interleukin-1 beta secretion	 64
exocytosis	 25
extracellular ATP-gated cation channel activity	 6
response to X-ray	 14
cholate 7-alpha-dehydrogenase activity	 1
threonine racemase activity	 1
thymidine phosphorylase activity	 3
aminoacyl-tRNA ligase activity	 443
negative regulation of G2/M transition of mitotic cell cycle	 1
nitrate catabolic process	 1
nickel-transporting ATPase activity	 3
transcytosis	 10
response to gonadotropin stimulus	 1
tubulin N-acetyltransferase activity	 3
motor neuron axon guidance	 23
cytoplasmic mRNA processing body	 32
nucleotide binding	 8700
carboxy-lyase activity	 87
pre-B cell allelic exclusion	 2
insulin-like growth factor ternary complex	 1
interleukin-18 production	 25
Malpighian tubule morphogenesis	 3
ATP phosphoribosyltransferase activity	 9
short-chain fatty acid catabolic process	 1
plus-end-directed microtubule motor activity	 10
NAD-dependent histone deacetylase activity	 6
calmodulin binding	 258
plasma membrane part	 13
carbon-carbon lyase activity	 24
DNA-dependent DNA replication	 35
single-strand selective uracil DNA N-glycosylase activity	 1
prostanoid metabolic process	 13
N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity	 1
oxoglutarate dehydrogenase complex	 12
nucleus accumbens development	 1
chloride-transporting ATPase activity	 1
katanin complex	 2
response to pain	 17
omega speckle	 4
regulation of cell development	 11
L-aspartate:fumarate oxidoreductase activity	 2
alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	 25
negative regulation of adenosine receptor signaling pathway	 1
detection of stimulus involved in sensory perception	 2
spot adherens junction	 1
neural plate axis specification	 2
microtubule nucleation	 12
endo-1,3(4)-beta-glucanase activity	 12
peptide biosynthetic process	 22
positive regulation of locomotion	 17
preprophase band	 1
osteoblast fate commitment	 3
RNA binding	 2814
beta-catenin-TCF7L2 complex	 2
cuticular plate	 9
kainate selective glutamate receptor activity	 1
methylmalonate-semialdehyde dehydrogenase (acylating) activity	 15
cellular response to fatty acid	 6
acetoacetate-CoA ligase activity	 1
malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity	 32
hedgehog receptor activity	 28
positive regulation of transcription regulator activity	 5
kinetochore organization	 4
histone serine kinase activity	 1
G2 phase of mitotic cell cycle	 4
phenylpyruvate decarboxylase activity	 1
salivary gland development	 6
triglyceride mobilization	 1
PTW/PP1 phosphatase complex	 9
nuclear-transcribed mRNA catabolic process	 6
peroxidase activity	 177
rDNA heterochromatin	 1
negative regulation of telomerase activity	 2
establishment of nucleus localization	 5
phosphoribosyl-AMP cyclohydrolase activity	 5
Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity	 5
protein complex	 235
head morphogenesis	 2
mRNA cleavage and polyadenylation specificity factor complex	 15
IkappaB kinase complex	 5
anterior lateral line development	 1
calcineurin complex	 6
leukocyte mediated immunity	 3
isocitrate metabolic process	 21
ascospore formation	 8
sarcomere	 84
positive regulation of interleukin-1 production	 1
negative regulation of T cell mediated cytotoxicity directed against tumor cell target	 5
positive regulation of G-protein coupled receptor protein signaling pathway	 1
toll-like receptor 5 signaling pathway	 5
cytosolic proteasome complex	 4
oxoglutarate dehydrogenase (succinyl-transferring) activity	 37
protein kinase B binding	 13
multicellular organismal aging	 5
sensory perception of mechanical stimulus	 2
regulation of protein transport	 10
compartment pattern specification	 11
lysosome localization	 1
apoptotic DNA fragmentation	 15
muscle myosin complex	 39
neuropeptide receptor activity	 3
intrinsic to internal side of plasma membrane	 4
tapasin binding	 2
sexual sporulation resulting in formation of a cellular spore	 1
regulation of neurotransmitter secretion	 12
germline ring canal formation	 3
cortical granule	 1
A-type (transient outward) potassium channel activity	 2
stress-induced premature senescence	 2
