KEGG Pathways	Number of Occurences
"(Histidine metabolism (map00340), transaminase (ec:2.6.1.9))"	5
"(Starch and sucrose metabolism (map00500), gentiobiase (ec:3.2.1.21))"	5
"(Novobiocin biosynthesis (map00401), transaminase (ec:2.6.1.5))"	5
"(Butanoate metabolism (map00650), dehydrogenase (NAD+) (ec:1.2.1.24))"	5
"(Pyrimidine metabolism (map00240), ec:3.5.1.6 beta-ureidopropionase (ec:3.5.1.6))"	5
"(Vitamin B6 metabolism (map00750), synthase (ec:4.2.3.1))"	5
"(Phenylpropanoid biosynthesis (map00940), gentiobiase (ec:3.2.1.21))"	5
"(Vitamin B6 metabolism (map00750), oxidase (ec:1.2.3.1))"	5
"(Amino sugar and nucleotide sugar metabolism (map00520), deacetylase (ec:3.5.1.41))"	4
"(Purine metabolism (map00230), 3'-diphosphatase (ec:3.1.7.2))"	4
"(Glycolysis / Gluconeogenesis (map00010), carboxykinase (ATP) (ec:4.1.1.49))"	4
"(Glycine, serine and threonine metabolism (map00260), phosphatase (ec:3.1.3.3))"	4
"(Carbon fixation pathways in prokaryotes (map00720), dehydrogenase (ferredoxin) (ec:1.2.7.4))"	4
"(Xylene degradation (map00622), dehydrogenase (acetylating) (ec:1.2.1.10))"	4
"(Carbon fixation pathways in prokaryotes (map00720), dehydrogenase (NADP+) (ec:1.5.1.5))"	4
"(Pyruvate metabolism (map00620), dehydrogenase (acetylating) (ec:1.2.1.10))"	4
"(Phosphatidylinositol signaling system (map04070), 3-kinase (ec:2.7.1.127))"	4
"(Thiamine metabolism (map00730), kinase (ec:2.7.4.7))"	4
"(Pyrimidine metabolism (map00240), kinase (ec:2.7.4.14))"	4
"(Carbon fixation pathways in prokaryotes (map00720), cyclohydrolase (ec:3.5.4.9))"	4
"(One carbon pool by folate (map00670), cyclohydrolase (ec:3.5.4.9))"	4
"(Pentose and glucuronate interconversions (map00040), 6-dehydrogenase (ec:1.1.1.22))"	4
"(Alanine, aspartate and glutamate metabolism (map00250), transaminase (isomerizing) (ec:2.6.1.16))"	4
"(Tryptophan metabolism (map00380), acylamidase (ec:3.5.1.4))"	4
"(Amino sugar and nucleotide sugar metabolism (map00520), 6-dehydrogenase (ec:1.1.1.22))"	4
"(Pyruvate metabolism (map00620), dehydrogenase (cytochrome) (ec:1.1.2.3))"	4
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), phosphoribosyltransferase (ec:2.4.2.18))"	4
"(Methane metabolism (map00680), dehydrogenase (ferredoxin) (ec:1.2.7.4))"	4
"(One carbon pool by folate (map00670), reductase (ec:1.5.1.3))"	4
"(Purine metabolism (map00230), cyclase (ec:4.6.1.1))"	4
"(Starch and sucrose metabolism (map00500), synthase (ec:2.4.1.14))"	4
"(Glycosylphosphatidylinositol(GPI)-anchor biosynthesis (map00563), N-acetylglucosaminyltransferase (ec:2.4.1.198))"	4
"(Porphyrin and chlorophyll metabolism (map00860), oxidase (ec:1.3.3.4))"	4
"(Inositol phosphate metabolism (map00562), phosphatase (ec:3.1.3.25))"	4
"(Pyruvate metabolism (map00620), carboxykinase (ATP) (ec:4.1.1.49))"	4
"(One carbon pool by folate (map00670), dehydrogenase (NADP+) (ec:1.5.1.5))"	4
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), 1-carboxyvinyltransferase (ec:2.5.1.19))"	4
"(Aminobenzoate degradation (map00627), acylamidase (ec:3.5.1.4))"	4
"(Amino sugar and nucleotide sugar metabolism (map00520), transaminase (isomerizing) (ec:2.6.1.16))"	4
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), synthase (ec:4.2.3.4))"	4
"(Pyrimidine metabolism (map00240), kinase (ec:2.7.4.6))"	4
"(Citrate cycle (TCA cycle) (map00020), carboxykinase (ATP) (ec:4.1.1.49))"	4
"(Phosphatidylinositol signaling system (map04070), kinase (ATP dependent) (ec:2.7.1.107))"	4
"(Carbon fixation pathways in prokaryotes (map00720), lyase (ec:4.1.3.34))"	4
"(Terpenoid backbone biosynthesis (map00900), geranyl-diphosphate synthase (ec:2.5.1.1))"	4
"(Ascorbate and aldarate metabolism (map00053), 6-dehydrogenase (ec:1.1.1.22))"	4
"(Porphyrin and chlorophyll metabolism (map00860), reductase (ec:1.3.1.33))"	4
"(Amino sugar and nucleotide sugar metabolism (map00520), mannose phosphomutase (ec:5.4.2.8))"	4
"(Pyrimidine metabolism (map00240), kinase (ec:2.7.4.9))"	4
"(Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate (map00532), 6-sulfotransferase (ec:2.8.2.17))"	4
"(Alanine, aspartate and glutamate metabolism (map00250), transaminase (ec:2.6.1.2))"	4
"(Carbon fixation in photosynthetic organisms (map00710), transaminase (ec:2.6.1.2))"	4
"(Folate biosynthesis (map00790), reductase (ec:1.5.1.3))"	4
"(Starch and sucrose metabolism (map00500), 6-dehydrogenase (ec:1.1.1.22))"	4
"(Arginine and proline metabolism (map00330), kinase (ec:2.7.2.8))"	4
"(Ubiquinone and other terpenoid-quinone biosynthesis (map00130), dioxygenase (ec:1.13.11.27))"	4
"(Phosphatidylinositol signaling system (map04070), 5-kinase (ec:2.7.1.68))"	4
"(Methane metabolism (map00680), phosphatase (ec:3.1.3.3))"	4
"(Lipopolysaccharide biosynthesis (map00540), synthase (ec:2.5.1.55))"	4
"(Sphingolipid metabolism (map00600), acylsphingosine deacylase (ec:3.5.1.23))"	4
"(Carbon fixation in photosynthetic organisms (map00710), carboxykinase (ATP) (ec:4.1.1.49))"	4
"(Amino sugar and nucleotide sugar metabolism (map00520), N-acetyltransferase (ec:2.3.1.157))"	4
"(Oxidative phosphorylation (map00190), dehydrogenase (ec:1.6.99.3))"	4
"(Dioxin degradation (map00621), dehydrogenase (acetylating) (ec:1.2.1.10))"	4
"(Tyrosine metabolism (map00350), dioxygenase (ec:1.13.11.27))"	4
"(Benzoate degradation (map00362), dehydrogenase (acetylating) (ec:1.2.1.10))"	4
"(Phenylalanine metabolism (map00360), acylamidase (ec:3.5.1.4))"	4
"(Inositol phosphate metabolism (map00562), 3-kinase (ec:2.7.1.127))"	4
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.22))"	4
"(Steroid biosynthesis (map00100), synthase (ec:5.4.99.7))"	4
"(Fructose and mannose metabolism (map00051), mannose phosphomutase (ec:5.4.2.8))"	4
"(Riboflavin metabolism (map00740), synthase (ec:2.5.1.9))"	4
"(Inositol phosphate metabolism (map00562), 5-kinase (ec:2.7.1.68))"	4
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), dehydrogenase (NADP+) (ec:1.3.1.13))"	4
"(Styrene degradation (map00643), 1,2-dioxygenase (ec:1.13.11.5))"	4
"(Glycerophospholipid metabolism (map00564), kinase (ATP dependent) (ec:2.7.1.107))"	4
"(Glycerophospholipid metabolism (map00564), 3-phosphatidyltransferase (ec:2.7.8.5))"	4
"(Arginine and proline metabolism (map00330), acylamidase (ec:3.5.1.4))"	4
"(Purine metabolism (map00230), kinase (ec:2.7.4.6))"	4
"(Nitrogen metabolism (map00910), dehydrogenase (ec:1.6.99.3))"	4
"(Nicotinate and nicotinamide metabolism (map00760), phosphoribosyltransferase (ec:2.4.2.12))"	4
"(Phenylalanine metabolism (map00360), dioxygenase (ec:1.13.11.27))"	4
"(Styrene degradation (map00643), acylamidase (ec:3.5.1.4))"	4
"(Sphingolipid metabolism (map00600), C-palmitoyltransferase (ec:2.3.1.50))"	4
"(Phosphatidylinositol signaling system (map04070), phosphatase (ec:3.1.3.25))"	4
"(Starch and sucrose metabolism (map00500), glycogenase (ec:3.2.1.1))"	4
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.2.1.8))"	4
"(Amino sugar and nucleotide sugar metabolism (map00520), 4-epimerase (ec:5.1.3.2))"	4
"(One carbon pool by folate (map00670), cyclo-ligase (ec:6.3.3.2))"	4
"(Starch and sucrose metabolism (map00500), trehalose 6-phosphatase (ec:3.1.3.12))"	4
"(Tryptophan metabolism (map00380), ec:3.7.1.3 kynureninase (ec:3.7.1.3))"	4
"(Nitrogen metabolism (map00910), monooxygenase (ec:1.13.12.16))"	4
"(Tyrosine metabolism (map00350), 1,2-dioxygenase (ec:1.13.11.5))"	4
"(Purine metabolism (map00230), RNA polymerase (ec:2.7.7.48))"	4
"(Streptomycin biosynthesis (map00521), phosphatase (ec:3.1.3.25))"	4
"(Terpenoid backbone biosynthesis (map00900), diphosphate synthase (ec:2.5.1.10))"	4
"(Porphyrin and chlorophyll metabolism (map00860), ferro-protoporphyrin chelatase (ec:4.99.1.1))"	4
"(Histidine metabolism (map00340), dehydratase (ec:4.2.1.19))"	4
"(Galactose metabolism (map00052), 4-epimerase (ec:5.1.3.2))"	4
"(Glycerolipid metabolism (map00561), kinase (ATP dependent) (ec:2.7.1.107))"	4
"(Butanoate metabolism (map00650), dehydrogenase (acetylating) (ec:1.2.1.10))"	4
"(Vitamin B6 metabolism (map00750), 5'-phosphate synthase (ec:2.6.99.2))"	3
"(Pyrimidine metabolism (map00240), dehydrogenase (NAD+) (ec:1.3.1.1))"	3
"(Pyruvate metabolism (map00620), reductase (ec:1.1.1.77))"	3
"(Selenocompound metabolism (map00450), lyase (ec:4.4.1.16))"	3
"(Porphyrin and chlorophyll metabolism (map00860), beta-glucuronide glucuronohydrolase glucuronidase (ec:3.2.1.31))"	3
"(alpha-Linolenic acid metabolism (map00592), A2 (ec:3.1.1.4))"	3
"(Glycine, serine and threonine metabolism (map00260), amidinotransferase (ec:2.1.4.1))"	3
"(Pyruvate metabolism (map00620), reductase (ec:1.1.1.21))"	3
"(beta-Alanine metabolism (map00410), synthase (ec:2.5.1.16))"	3
"(Pentose phosphate pathway (map00030), aldolase (ec:4.1.2.4))"	3
"(Amino sugar and nucleotide sugar metabolism (map00520), hexokinase type IV glucokinase (ec:2.7.1.1))"	3
"(Purine metabolism (map00230), deaminase (ec:3.5.4.6))"	3
"(Arachidonic acid metabolism (map00590), hydrolase (ec:3.3.2.6))"	3
"(Glyoxylate and dicarboxylate metabolism (map00630), reductase (ec:1.1.1.26))"	3
"(Arachidonic acid metabolism (map00590), A2 (ec:3.1.1.4))"	3
"(Porphyrin and chlorophyll metabolism (map00860), oxidase (ec:1.3.3.3))"	3
"(Benzoate degradation (map00362), decarboxylase (ec:4.1.1.70))"	3
"(Arginine and proline metabolism (map00330), dioxygenase (ec:1.14.11.2))"	3
"(Pyrimidine metabolism (map00240), dehydrogenase (NADP+) (ec:1.3.1.2))"	3
"(N-Glycan biosynthesis (map00510), N-acetylglucosaminephosphotransferase (ec:2.7.8.15))"	3
"(Fructose and mannose metabolism (map00051), 1-phosphotransferase (ec:2.7.1.90))"	3
"(Retinol metabolism (map00830), dehydrogenase (ec:1.2.1.36))"	3
"(Pentose phosphate pathway (map00030), aldolase (ec:4.1.2.14))"	3
"(Propanoate metabolism (map00640), decarboxylase (ec:4.1.1.9))"	3
"(Fructose and mannose metabolism (map00051), reductase (ec:1.1.1.21))"	3
"(Porphyrin and chlorophyll metabolism (map00860), synthase (ec:2.5.1.61))"	3
"(Purine metabolism (map00230), carboxylase (ec:4.1.1.21))"	3
"(beta-Lactam resistance (map00312), penicillinase (ec:3.5.2.6))"	3
"(Arginine and proline metabolism (map00330), transaminase (ec:2.6.1.21))"	3
"(Terpenoid backbone biosynthesis (map00900), synthase [(2E,6E)-farnesyl-diphosphate specific] (ec:2.5.1.31))"	3
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), synthase (ec:4.2.3.5))"	3
"(Glycosaminoglycan degradation (map00531), beta-glucuronide glucuronohydrolase glucuronidase (ec:3.2.1.31))"	3
"(Fatty acid elongation (map00062), hydrolase (ec:3.1.2.2))"	3
"(Phenylalanine metabolism (map00360), hydrolase (ec:3.5.1.32))"	3
"(Cysteine and methionine metabolism (map00270), dehydrogenase (NADP+) (ec:1.1.1.272))"	3
"(Chloroalkane and chloroalkene degradation (map00625), dehalogenase (ec:3.8.1.2))"	3
"(Riboflavin metabolism (map00740), phosphatase (ec:3.1.3.2))"	3
"(Inositol phosphate metabolism (map00562), 3-phosphatase (ec:3.1.3.67))"	3
"(Glutathione metabolism (map00480), synthase (ec:2.5.1.16))"	3
"(Glyoxylate and dicarboxylate metabolism (map00630), phosphatase (ec:3.1.3.18))"	3
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), dehydrogenase (ec:1.3.1.12))"	3
"(Tyrosine metabolism (map00350), beta-diketonase (ec:3.7.1.2))"	3
"(Arginine and proline metabolism (map00330), synthase (ec:2.5.1.16))"	3
"(Drug metabolism - other enzymes (map00983), phosphoribosyltransferase (ec:2.4.2.10))"	3
"(Drug metabolism - other enzymes (map00983), beta-glucuronide glucuronohydrolase glucuronidase (ec:3.2.1.31))"	3
"(Pantothenate and CoA biosynthesis (map00770), decarboxylase (ec:4.1.1.36))"	3
"(Cysteine and methionine metabolism (map00270), synthase (ec:2.5.1.16))"	3
"(Nicotinate and nicotinamide metabolism (map00760), synthase (glutamine-hydrolysing) (ec:6.3.5.1))"	3
"(Methane metabolism (map00680), dehydrogenase (ec:1.2.1.46))"	3
"(Arginine and proline metabolism (map00330), aldolase (ec:4.1.3.16))"	3
"(Fructose and mannose metabolism (map00051), hexokinase type IV glucokinase (ec:2.7.1.1))"	3
"(Glycine, serine and threonine metabolism (map00260), C-acetyltransferase (ec:2.3.1.29))"	3
"(D-Alanine metabolism (map00473), transaminase (ec:2.6.1.21))"	3
"(Carbon fixation pathways in prokaryotes (map00720), reductase [NAD(P)H] (ec:1.5.1.20))"	3
"(Glycine, serine and threonine metabolism (map00260), kinase (ec:2.7.1.39))"	3
"(Chloroalkane and chloroalkene degradation (map00625), dehydrogenase (ec:1.2.1.46))"	3
"(Pantothenate and CoA biosynthesis (map00770), ligase (ec:6.3.2.5))"	3
"(Butanoate metabolism (map00650), decarboxylase (ec:4.1.1.70))"	3
"(Arginine and proline metabolism (map00330), dehydropeptidase II (ec:3.5.1.14))"	3
"(Linoleic acid metabolism (map00591), A2 (ec:3.1.1.4))"	3
"(Nitrogen metabolism (map00910), synthase (glutamine-hydrolysing) (ec:6.3.5.4))"	3
"(Flavone and flavonol biosynthesis (map00944), beta-glucuronide glucuronohydrolase glucuronidase (ec:3.2.1.31))"	3
"(Starch and sucrose metabolism (map00500), beta-glucuronide glucuronohydrolase glucuronidase (ec:3.2.1.31))"	3
"(Starch and sucrose metabolism (map00500), muscle phosphorylase a and b (ec:2.4.1.1))"	3
"(Aminobenzoate degradation (map00627), phosphatase (ec:3.1.3.2))"	3
"(Purine metabolism (map00230), phosphodeoxyribomutase (ec:5.4.2.7))"	3
"(One carbon pool by folate (map00670), reductase [NAD(P)H] (ec:1.5.1.20))"	3
"(Purine metabolism (map00230), urate hydroxylase (ec:1.7.3.3))"	3
"(mTOR signaling pathway (map04150), protein kinase (ec:2.7.11.11))"	3
"(Drug metabolism - other enzymes (map00983), dehydrogenase (NADP+) (ec:1.3.1.2))"	3
"(Pyrimidine metabolism (map00240), kinase (ec:2.7.1.48))"	3
"(Fructose and mannose metabolism (map00051), phosphofructokinase 2 (ec:2.7.1.105))"	3
"(Glycolysis / Gluconeogenesis (map00010), hexokinase type IV glucokinase (ec:2.7.1.1))"	3
"(Phenylalanine metabolism (map00360), transaminase (ec:2.6.1.21))"	3
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), synthase (ec:4.1.1.48))"	3
"(Butirosin and neomycin biosynthesis (map00524), hexokinase type IV glucokinase (ec:2.7.1.1))"	3
"(Caffeine metabolism (map00232), urate hydroxylase (ec:1.7.3.3))"	3
"(Lysine degradation (map00310), transaminase (ec:2.6.1.21))"	3
"(Chlorocyclohexane and chlorobenzene degradation (map00361), dehalogenase (ec:3.8.1.2))"	3
"(beta-Alanine metabolism (map00410), dehydrogenase (NAD+) (ec:1.3.1.1))"	3
"(Purine metabolism (map00230), cyclo-ligase (ec:6.3.3.1))"	3
"(Streptomycin biosynthesis (map00521), hexokinase type IV glucokinase (ec:2.7.1.1))"	3
"(Pantothenate and CoA biosynthesis (map00770), dehydrogenase (NAD+) (ec:1.3.1.1))"	3
"(Glycine, serine and threonine metabolism (map00260), mutase (ec:5.4.2.1))"	3
"(Glycerophospholipid metabolism (map00564), phosphodiesterase (ec:3.1.4.13))"	3
"(Galactose metabolism (map00052), reductase (ec:1.1.1.21))"	3
"(Steroid biosynthesis (map00100), 14alpha-demethylase (ec:1.14.13.70))"	3
"(Porphyrin and chlorophyll metabolism (map00860), acid a,c-diamide adenosyltransferase (ec:2.5.1.17))"	3
"(Methane metabolism (map00680), mutase (ec:5.4.2.1))"	3
"(Alanine, aspartate and glutamate metabolism (map00250), synthase (glutamine-hydrolysing) (ec:6.3.5.4))"	3
"(Pyrimidine metabolism (map00240), decarboxylase (ec:4.1.1.23))"	3
"(Drug metabolism - other enzymes (map00983), kinase (ec:2.7.1.48))"	3
"(Pyrimidine metabolism (map00240), phosphoribosyltransferase (ec:2.4.2.10))"	3
"(Biosynthesis of unsaturated fatty acids (map01040), hydrolase (ec:3.1.2.2))"	3
"(Novobiocin biosynthesis (map00401), dehydrogenase (ec:1.3.1.12))"	3
"(Styrene degradation (map00643), beta-diketonase (ec:3.7.1.2))"	3
"(Glycerolipid metabolism (map00561), dehydrogenase (ec:1.1.1.6))"	3
"(Phosphatidylinositol signaling system (map04070), 3-phosphatase (ec:3.1.3.67))"	3
"(Pentose phosphate pathway (map00030), phosphodeoxyribomutase (ec:5.4.2.7))"	3
"(Lipopolysaccharide biosynthesis (map00540), cytidylyltransferase (ec:2.7.7.38))"	3
"(Glycerophospholipid metabolism (map00564), lecithinase B (ec:3.1.1.5))"	3
"(D-Alanine metabolism (map00473), racemase (ec:5.1.1.1))"	3
"(Glutathione metabolism (map00480), peroxidase (ec:1.11.1.11))"	3
"(Pyruvate metabolism (map00620), dehydrogenase (quinone) (ec:1.1.5.4))"	3
"(Terpenoid backbone biosynthesis (map00900), synthase (ec:1.17.7.1))"	3
"(Penicillin and cephalosporin biosynthesis (map00311), penicillinase (ec:3.5.2.6))"	3
"(Ether lipid metabolism (map00565), A2 (ec:3.1.1.4))"	3
"(Porphyrin and chlorophyll metabolism (map00860), methylmutase (ec:5.4.1.2))"	3
"(Methane metabolism (map00680), dehydrogenase (NADP+) (ec:1.1.1.272))"	3
"(Purine metabolism (map00230), deaminase (ec:3.5.4.3))"	3
"(beta-Alanine metabolism (map00410), dehydrogenase (NADP+) (ec:1.3.1.2))"	3
"(Arginine and proline metabolism (map00330), amidinotransferase (ec:2.1.4.1))"	3
"(beta-Alanine metabolism (map00410), decarboxylase (ec:4.1.1.9))"	3
"(Glycerolipid metabolism (map00561), reductase (ec:1.1.1.21))"	3
"(Glycerophospholipid metabolism (map00564), A2 (ec:3.1.1.4))"	3
"(Fructose and mannose metabolism (map00051), 2-phosphatase (ec:3.1.3.46))"	3
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), synthase (ec:4.1.3.27))"	3
"(Pentose and glucuronate interconversions (map00040), ketol-isomerase (ec:5.3.1.15))"	3
"(Galactose metabolism (map00052), hexokinase type IV glucokinase (ec:2.7.1.1))"	3
"(Pantothenate and CoA biosynthesis (map00770), dehydrogenase (NADP+) (ec:1.3.1.2))"	3
"(Pentose and glucuronate interconversions (map00040), reductase (ec:1.1.1.21))"	3
"(Arginine and proline metabolism (map00330), agmatine ureohydrolase (ec:3.5.3.11))"	3
"(Glyoxylate and dicarboxylate metabolism (map00630), aldolase (ec:4.1.3.16))"	3
"(Glyoxylate and dicarboxylate metabolism (map00630), reductase (ec:1.1.1.77))"	3
"(D-Arginine and D-ornithine metabolism (map00472), transaminase (ec:2.6.1.21))"	3
"(Pentose and glucuronate interconversions (map00040), beta-glucuronide glucuronohydrolase glucuronidase (ec:3.2.1.31))"	3
"(Glycolysis / Gluconeogenesis (map00010), mutase (ec:5.4.2.1))"	3
"(Phenylalanine metabolism (map00360), ligase (ec:6.2.1.30))"	3
"(Pentose phosphate pathway (map00030), 1-dehydrogenase (ec:1.1.1.47))"	3
"(Biotin metabolism (map00780), synthase (ec:2.3.1.47))"	3
"(Arginine and proline metabolism (map00330), ligase (ec:6.3.1.11))"	3
"(Ascorbate and aldarate metabolism (map00053), peroxidase (ec:1.11.1.11))"	3
"(Starch and sucrose metabolism (map00500), hexokinase type IV glucokinase (ec:2.7.1.1))"	3
"(Aminoacyl-tRNA biosynthesis (map00970), formyltransferase (ec:2.1.2.9))"	2
"(Arachidonic acid metabolism (map00590), epoxide hydrolase (ec:3.3.2.10))"	2
"(Polycyclic aromatic hydrocarbon degradation (map00624), 4,5-dioxygenase (ec:1.14.12.7))"	2
"(Chloroalkane and chloroalkene degradation (map00625), epoxide hydrolase (ec:3.3.2.10))"	2
"(Propanoate metabolism (map00640), epimerase (ec:5.1.99.1))"	2
"(Glycerolipid metabolism (map00561), kinase (ec:2.7.1.29))"	2
"(Sesquiterpenoid and triterpenoid biosynthesis (map00909), synthase (ec:2.5.1.21))"	2
"(Butanoate metabolism (map00650), lyase (ec:4.1.3.4))"	2
"(Tyrosine metabolism (map00350), beta-monooxygenase (ec:1.14.17.1))"	2
"(Glycine, serine and threonine metabolism (map00260), gamma-lyase (ec:4.4.1.1))"	2
"(Ubiquinone and other terpenoid-quinone biosynthesis (map00130), ligase (ec:6.2.1.26))"	2
"(Arginine and proline metabolism (map00330), decarboxylase (ec:4.1.1.17))"	2
"(Arachidonic acid metabolism (map00590), synthase (ec:1.14.99.1))"	2
"(Propanoate metabolism (map00640), hydrolase (ec:3.1.2.4))"	2
"(Purine metabolism (map00230), diphosphokinase (ec:2.7.6.5))"	2
"(Pentose and glucuronate interconversions (map00040), uridylyltransferase (ec:2.7.7.44))"	2
"(Sesquiterpenoid and triterpenoid biosynthesis (map00909), monooxygenase (ec:1.14.13.132))"	2
"(Ascorbate and aldarate metabolism (map00053), uridylyltransferase (ec:2.7.7.44))"	2
"(Alanine, aspartate and glutamate metabolism (map00250), synthase (ammonia) (ec:6.3.4.16))"	2
"(Metabolism of xenobiotics by cytochrome P450 (map00980), dehydrogenase [NAD(P)+] (ec:1.2.1.5))"	2
"(Methane metabolism (map00680), kinase (ec:2.7.1.29))"	2
"(Terpenoid backbone biosynthesis (map00900), 5'-diphospho)-2-C-methyl-D-erythritol kinase (ec:2.7.1.148))"	2
"(Steroid biosynthesis (map00100), reductase (ec:1.3.1.72))"	2
"(Purine metabolism (map00230), nucleosidase (ec:3.2.2.4))"	2
"(Biosynthesis of 12-, 14- and 16-membered macrolides (map00522), synthase (ec:2.3.1.94))"	2
"(Galactose metabolism (map00052), uridylyltransferase (ec:2.7.7.10))"	2
"(Riboflavin metabolism (map00740), kinase (ec:2.7.1.26))"	2
"(Arginine and proline metabolism (map00330), synthase (NADPH dependent) (ec:1.14.13.39))"	2
"(Nicotinate and nicotinamide metabolism (map00760), phosphorylase (ec:2.4.2.1))"	2
"(Vitamin B6 metabolism (map00750), dehydrogenase (ec:1.1.1.262))"	2
"(Streptomycin biosynthesis (map00521), transaminase (ec:2.6.1.50))"	2
"(Histidine metabolism (map00340), phosphoribosyltransferase (ec:2.4.2.17))"	2
"(Pentose and glucuronate interconversions (map00040), 3-dehydrogenase (ec:1.1.1.125))"	2
"(Methane metabolism (map00680), dehydrogenase (ec:1.1.1.29))"	2
"(Porphyrin and chlorophyll metabolism (map00860), synthase (ec:4.2.1.75))"	2
"(Fructose and mannose metabolism (map00051), isomerase (ec:5.3.1.25))"	2
"(Lysine biosynthesis (map00300), synthase (ec:2.3.3.14))"	2
"(Pentose phosphate pathway (map00030), deoxyribokinase (ec:2.7.1.15))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), uridylyltransferase (ec:2.7.7.11))"	2
"(Other glycan degradation (map00511), alpha-fucosidase (ec:3.2.1.51))"	2
"(Valine, leucine and isoleucine degradation (map00280), synthase (ec:2.3.3.10))"	2
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), kinase (ec:2.7.1.71))"	2
"(Terpenoid backbone biosynthesis (map00900), reductoisomerase (ec:1.1.1.267))"	2
"(Pyruvate metabolism (map00620), synthase (ec:2.3.3.14))"	2
"(Tryptophan metabolism (map00380), 3,4-dioxygenase (ec:1.13.11.6))"	2
"(Fluorobenzoate degradation (map00364), hydratase (ec:4.2.1.84))"	2
"(Various types of N-glycan biosynthesis (map00513), hexosaminidase (ec:3.2.1.52))"	2
"(Nitrogen metabolism (map00910), ammonia-lyase (ec:4.3.1.1))"	2
"(Fatty acid elongation (map00062), dehydrogenase (ec:1.1.1.211))"	2
"(Oxidative phosphorylation (map00190), ATPase (ec:3.6.3.10))"	2
"(Histidine metabolism (map00340), 4(5)-imidazolone-5(4)-propionic acid hydrolase (ec:3.5.2.7))"	2
"(Carbon fixation in photosynthetic organisms (map00710), dehydrogenase (NADP+) (phosphorylating) (ec:1.2.1.13))"	2
"(Glutathione metabolism (map00480), decarboxylase (ec:4.1.1.17))"	2
"(Fatty acid metabolism (map00071), dehydrogenase (ec:1.1.1.211))"	2
"(Galactose metabolism (map00052), uridylyltransferase (ec:2.7.7.12))"	2
"(Ether lipid metabolism (map00565), synthase (ec:2.5.1.26))"	2
"(Fructose and mannose metabolism (map00051), aldolase (ec:4.1.2.17))"	2
"(Butanoate metabolism (map00650), synthase (ec:2.3.3.10))"	2
"(Secondary bile acid biosynthesis (map00121), hydrolase (ec:3.5.1.74))"	2
"(Phenylalanine metabolism (map00360), dehydrogenase [NAD(P)+] (ec:1.2.1.5))"	2
"(beta-Alanine metabolism (map00410), hydrolase (ec:3.1.2.4))"	2
"(Arginine and proline metabolism (map00330), reductase (ec:1.5.1.2))"	2
"(Nitrogen metabolism (map00910), reductase (NADH) (ec:1.7.1.1))"	2
"(Glycine, serine and threonine metabolism (map00260), 3-dehydrogenase (ec:1.1.1.103))"	2
"(Propanoate metabolism (map00640), carboxytransferase (ec:2.1.3.1))"	2
"(Riboflavin metabolism (map00740), deaminase (ec:3.5.4.26))"	2
"(Glycosphingolipid biosynthesis - ganglio series (map00604), hexosaminidase (ec:3.2.1.52))"	2
"(Propanoate metabolism (map00640), dehydratase (ec:4.2.1.79))"	2
"(Pyruvate metabolism (map00620), acetylphosphatase (ec:3.6.1.7))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), 1,4-beta-xylosidase (ec:3.2.1.37))"	2
"(Fructose and mannose metabolism (map00051), 4,6-dehydratase (ec:4.2.1.47))"	2
"(Glycine, serine and threonine metabolism (map00260), ammonia-lyase (ec:4.3.1.17))"	2
"(Other glycan degradation (map00511), hexosaminidase (ec:3.2.1.52))"	2
"(Arginine and proline metabolism (map00330), kinase (ec:2.7.3.3))"	2
"(Synthesis and degradation of ketone bodies (map00072), synthase (ec:2.3.3.10))"	2
"(Purine metabolism (map00230), kinase (ec:2.7.1.20))"	2
"(Streptomycin biosynthesis (map00521), 2-dehydrogenase (ec:1.1.1.18))"	2
"(Arginine and proline metabolism (map00330), synthase (ammonia) (ec:6.3.4.16))"	2
"(Nitrogen metabolism (map00910), synthase (ammonia) (ec:6.3.4.16))"	2
"(Starch and sucrose metabolism (map00500), glucokinase (phosphorylating) (ec:2.7.1.2))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), 4,6-dehydratase (ec:4.2.1.47))"	2
"(Aminobenzoate degradation (map00627), nitrophenyl phosphatase (ec:3.1.3.41))"	2
"(Glyoxylate and dicarboxylate metabolism (map00630), lyase (ec:4.1.3.1))"	2
"(Histidine metabolism (map00340), cyclohydrolase (ec:3.5.4.19))"	2
"(Selenocompound metabolism (map00450), gamma-lyase (ec:4.4.1.1))"	2
"(One carbon pool by folate (map00670), formyltransferase (ec:2.1.2.9))"	2
